Team,Matches,Won,Drawn,Lost,GF,GA,GD,Points,Rank
Osasuna,1,1,0,0,3,0,3,3,1
Real Madrid,1,1,0,0,0,0,0,3,2
FC Barcelona,1,1,0,0,1,2,-1,3,3
Valencia,1,0,1,0,2,1,1,1,4
Athletic Bilbao,1,0,1,0,2,1,1,1,5
Athletico Madrid,1,0,1,0,1,0,1,1,6
Villarreal,1,0,1,0,1,0,1,1,7
Real Betis,1,0,1,0,0,0,0,1,8
Espanyol Barcelona,1,0,1,0,0,0,0,1,9
Mallorca,1,0,1,0,0,0,0,1,10
Girona,1,0,1,0,2,3,-1,1,11
Real Sociedad,1,0,1,0,0,1,-1,1,12
Sevilla FC,1,0,1,0,0,2,-2,1,13
Vallecano,1,0,1,0,0,3,-3,1,14
Getafe,1,0,0,1,2,1,1,0,15
Cadiz,1,0,0,1,1,0,1,0,16
Almeria,1,0,0,1,1,1,0,0,17
Valladolid,1,0,0,1,0,0,0,0,18
Celta de Vigo,1,0,0,1,0,3,-3,0,19
Elche,1,0,0,1,0,3,-3,0,20
Osasuna,2,2,0,0,3,0,3,6,1
Real Madrid,2,2,0,0,3,1,2,6,2
FC Barcelona,2,2,0,0,2,2,0,6,3
Athletico Madrid,2,1,1,0,3,2,1,4,4
Real Sociedad,2,1,1,0,1,3,-2,4,5
Athletic Bilbao,2,0,2,0,5,1,4,2,6
Real Betis,2,0,2,0,3,0,3,2,7
Girona,2,0,2,0,5,3,2,2,8
Mallorca,2,0,2,0,2,1,1,2,9
Villarreal,2,0,2,0,1,0,1,2,10
Espanyol Barcelona,2,0,2,0,0,0,0,2,11
Valencia,2,0,2,0,3,4,-1,2,12
Sevilla FC,2,0,2,0,0,2,-2,2,13
Vallecano,2,0,2,0,0,5,-5,2,14
Getafe,2,0,1,1,3,3,0,1,15
Almeria,2,0,1,1,2,3,-1,1,16
Celta de Vigo,2,0,1,1,1,6,-5,1,17
Valladolid,2,0,0,2,3,1,2,0,18
Cadiz,2,0,0,2,3,1,2,0,19
Elche,2,0,0,2,0,7,-7,0,20
Real Madrid,3,3,0,0,3,2,1,9,1
FC Barcelona,3,3,0,0,3,3,0,9,2
Athletico Madrid,3,2,1,0,5,2,3,7,3
Real Sociedad,3,2,1,0,5,5,0,7,4
Osasuna,3,2,0,1,5,1,4,6,5
Athletic Bilbao,3,1,2,0,5,1,4,5,6
Vallecano,3,1,2,0,3,6,-3,5,7
Celta de Vigo,3,1,1,1,2,9,-7,4,8
Girona,3,0,3,0,6,3,3,3,9
Real Betis,3,0,3,0,3,0,3,3,10
Villarreal,3,0,3,0,2,1,1,3,11
Mallorca,3,0,3,0,2,2,0,3,12
Valencia,3,0,3,0,5,6,-1,3,13
Sevilla FC,3,0,3,0,1,2,-1,3,14
Espanyol Barcelona,3,0,3,0,0,2,-2,3,15
Getafe,3,0,2,1,4,4,0,2,16
Almeria,3,0,2,1,3,4,-1,2,17
Cadiz,3,0,1,2,4,2,2,1,18
Valladolid,3,0,1,2,3,2,1,1,19
Elche,3,0,0,3,1,8,-7,0,20
FC Barcelona,4,4,0,0,4,3,1,12,1
Osasuna,4,3,0,1,5,2,3,9,2
Real Madrid,4,3,0,1,3,3,0,9,3
Athletico Madrid,4,2,1,1,5,3,2,7,4
Real Sociedad,4,2,1,1,5,5,0,7,5
Athletic Bilbao,4,1,2,1,5,2,3,5,6
Vallecano,4,1,2,1,4,10,-6,5,7
Celta de Vigo,4,1,1,2,2,10,-8,4,8
Real Betis,4,0,3,1,3,1,2,3,9
Girona,4,0,3,1,6,6,0,3,10
