Team,Matches,Won,Drawn,Lost,GF,GA,GD,Points,Rank
Celtic Glasgow,1,1,0,0,2,0,2,3,1
Glasgow Rangers,1,1,0,0,2,2,0,3,2
Livingston,1,1,0,0,0,0,0,3,3
St Mirren,1,0,1,0,0,0,0,1,4
Hearts,1,0,1,0,0,1,-1,1,5
Hibernian,1,0,1,0,0,5,-5,1,6
Motherwell,1,0,0,1,3,0,3,0,7
Dundee United,1,0,0,1,2,0,2,0,8
Kilmarnock,1,0,0,1,0,0,0,0,9
Ross County,1,0,0,1,0,0,0,0,10
Aberdeen,1,0,0,1,1,2,-1,0,11
St Johnstone,1,0,0,1,0,3,-3,0,12
Glasgow Rangers,2,2,0,0,4,2,2,6,1
Celtic Glasgow,2,2,0,0,3,1,2,6,2
Hearts,2,1,1,0,3,1,2,4,3
Livingston,2,1,1,0,1,0,1,4,4
St Mirren,2,0,2,0,0,0,0,2,5
Hibernian,2,0,2,0,3,10,-7,2,6
Dundee United,2,0,1,1,6,0,6,1,7
Motherwell,2,0,1,1,4,0,4,1,8
St Johnstone,2,0,1,1,6,6,0,1,9
Aberdeen,2,0,1,1,3,3,0,1,10
Kilmarnock,2,0,1,1,1,2,-1,1,11
Ross County,2,0,1,1,0,1,-1,1,12
Celtic Glasgow,3,3,0,0,6,1,5,9,1
Livingston,3,2,1,0,4,0,4,7,2
Hearts,3,2,1,0,6,3,3,7,3
Glasgow Rangers,3,2,1,0,4,3,1,7,4
St Mirren,3,0,2,1,0,0,0,2,5
Hibernian,3,0,2,1,3,12,-9,2,6
Dundee United,3,0,1,2,10,1,9,1,7
Motherwell,3,0,1,2,6,3,3,1,8
St Johnstone,3,0,1,2,6,7,-1,1,9
Aberdeen,3,0,1,2,4,5,-1,1,10
Ross County,3,0,1,2,0,2,-2,1,11
Kilmarnock,3,0,1,2,1,5,-4,1,12
Celtic Glasgow,4,4,0,0,8,2,6,12,1
Hearts,4,3,1,0,8,4,4,10,2
Glasgow Rangers,4,3,1,0,5,4,1,10,3
Livingston,4,2,2,0,4,0,4,8,4
St Mirren,4,0,3,1,0,1,-1,3,5
Hibernian,4,0,3,1,3,12,-9,3,6
Motherwell,4,0,2,2,6,4,2,2,7
Aberdeen,4,0,2,2,7,6,1,2,8
St Johnstone,4,0,2,2,9,11,-2,2,9
Kilmarnock,4,0,2,2,4,11,-7,2,10
Dundee United,4,0,1,3,11,8,3,1,11
Ross County,4,0,1,3,0,3,-3,1,12
Celtic Glasgow,5,5,0,0,13,3,10,15,1
Hearts,5,4,1,0,9,4,5,13,2
Glasgow Rangers,5,4,1,0,6,4,2,13,3
Livingston,5,2,2,1,4,2,2,8,4
St Johnstone,5,1,2,2,10,12,-2,5,5
