Team,Matches,Won,Drawn,Lost,GF,GA,GD,Points,Rank
Dunfermline Athletic,1,1,0,0,1,0,1,3,1
Queen of the South,1,0,0,1,1,1,0,0,2
Montrose,1,0,0,1,0,0,0,0,3
Falkirk,1,0,0,1,0,1,-1,0,4
Kelty Hearts,1,0,0,1,0,1,-1,0,5
Airdrie United,1,0,0,1,0,1,-1,0,6
Clyde,1,0,0,1,0,1,-1,0,7
Edinburgh City,1,0,0,1,0,1,-1,0,8
Alloa Athletic,1,0,0,1,0,2,-2,0,9
Peterhead,1,0,0,1,0,3,-3,0,10
Dunfermline Athletic,2,2,0,0,2,0,2,6,1
Falkirk,2,0,1,1,2,1,1,1,2
Queen of the South,2,0,0,2,3,4,-1,0,3
Kelty Hearts,2,0,0,2,0,1,-1,0,4
Airdrie United,2,0,0,2,1,3,-2,0,5
Clyde,2,0,0,2,1,3,-2,0,6
Edinburgh City,2,0,0,2,0,2,-2,0,7
Montrose,2,0,0,2,2,6,-4,0,8
Peterhead,2,0,0,2,1,5,-4,0,9
Alloa Athletic,2,0,0,2,2,7,-5,0,10
Dunfermline Athletic,3,3,0,0,5,0,5,9,1
Falkirk,3,1,1,1,2,1,1,4,2
Edinburgh City,3,0,1,2,3,2,1,1,3
Queen of the South,3,0,1,2,4,7,-3,1,4
Airdrie United,3,0,1,2,1,5,-4,1,5
Montrose,3,0,1,2,3,9,-6,1,6
Alloa Athletic,3,0,1,2,2,8,-6,1,7
Kelty Hearts,3,0,0,3,0,3,-3,0,8
Clyde,3,0,0,3,2,6,-4,0,9
Peterhead,3,0,0,3,1,10,-9,0,10
Dunfermline Athletic,4,4,0,0,6,1,5,12,1
Falkirk,4,2,1,1,4,2,2,7,2
Edinburgh City,4,1,1,2,3,2,1,4,3
Queen of the South,4,1,1,2,6,7,-1,4,4
Alloa Athletic,4,1,1,2,3,8,-5,4,5
Airdrie United,4,1,1,2,2,7,-5,4,6
Montrose,4,1,1,2,4,10,-6,4,7
Clyde,4,1,0,3,2,8,-6,3,8
Kelty Hearts,4,0,0,4,1,5,-4,0,9
Peterhead,4,0,0,4,2,11,-9,0,10
Dunfermline Athletic,5,5,0,0,7,1,6,15,1
Falkirk,5,3,1,1,7,4,3,10,2
Edinburgh City,5,1,2,2,6,6,0,5,3
Airdrie United,5,1,2,2,5,7,-2,5,4
Montrose,5,1,2,2,4,11,-7,5,5
Alloa Athletic,5,1,2,2,3,11,-8,5,6
Queen of the South,5,1,1,3,6,9,-3,4,7
Kelty Hearts,5,1,0,4,6,5,1,3,8
Clyde,5,1,0,4,3,11,-8,3,9
Peterhead,5,0,0,5,3,13,-10,0,10
Dunfermline Athletic,6,6,0,0,9,1,8,18,1
Falkirk,6,4,1,1,9,5,4,13,2
Airdrie United,6,1,3,2,6,8,-2,6,3
Edinburgh City,6,1,2,3,8,9,-1,5,4
Montrose,6,1,2,3,5,11,-6,5,5
Alloa Athletic,6,1,2,3,6,13,-7,5,6
Kelty Hearts,6,1,1,4,9,6,3,4,7
Queen of the South,6,1,1,4,9,11,-2,4,8
Clyde,6,1,0,5,3,13,-10,3,9
