Team,Matches,Won,Drawn,Lost,GF,GA,GD,Points,Rank
FC Orenburg,1,1,0,0,5,1,4,3,1
FK Krasnodar,1,1,0,0,4,1,3,3,2
Zenit St Petersburg,1,1,0,0,2,0,2,3,3
Dinamo Moscow,1,1,0,0,1,0,1,3,4
Spartak Moscow,1,1,0,0,1,0,1,3,5
CSKA Moscow,1,1,0,0,1,1,0,3,6
Terek Grozny,1,1,0,0,3,4,-1,3,7
FK Rostov,1,1,0,0,2,3,-1,3,8
Sochi,1,0,1,0,4,2,2,1,9
Nizhny Novgorod,1,0,1,0,2,0,2,1,10
Fakel Voronezh,1,0,1,0,1,0,1,1,11
Krylia Sovetov,1,0,1,0,1,0,1,1,12
FK Ural,1,0,1,0,1,1,0,1,13
Lokomotiv Moscow,1,0,1,0,0,1,-1,1,14
FK Khimki,1,0,0,1,1,1,0,0,15
Torpedo Moscow,1,0,0,1,0,0,0,0,16
CSKA Moscow,2,2,0,0,4,1,3,6,1
Zenit St Petersburg,2,2,0,0,3,0,3,6,2
Spartak Moscow,2,1,1,0,1,2,-1,4,3
FC Orenburg,2,1,0,1,7,2,5,3,4
FK Krasnodar,2,1,0,1,5,4,1,3,5
Dinamo Moscow,2,1,0,1,2,2,0,3,6
Terek Grozny,2,1,0,1,3,5,-2,3,7
FK Rostov,2,1,0,1,3,6,-3,3,8
Sochi,2,0,1,1,6,4,2,1,9
FK Ural,2,0,1,1,3,3,0,1,10
Krylia Sovetov,2,0,1,1,3,3,0,1,11
Nizhny Novgorod,2,0,1,1,3,4,-1,1,12
Fakel Voronezh,2,0,1,1,2,4,-2,1,13
Lokomotiv Moscow,2,0,1,1,1,5,-4,1,14
Torpedo Moscow,2,0,0,2,0,3,-3,0,15
FK Khimki,2,0,0,2,2,6,-4,0,16
Zenit St Petersburg,3,3,0,0,4,0,4,9,1
CSKA Moscow,3,3,0,0,5,3,2,9,2
Spartak Moscow,3,2,1,0,4,2,2,7,3
FC Orenburg,3,2,0,1,10,2,8,6,4
Terek Grozny,3,1,1,1,7,6,1,4,5
FK Krasnodar,3,1,1,1,7,6,1,4,6
Dinamo Moscow,3,1,1,1,3,4,-1,4,7
FK Rostov,3,1,1,1,6,8,-2,4,8
Sochi,3,0,1,2,7,7,0,1,9
FK Ural,3,0,1,2,6,7,-1,1,10
Fakel Voronezh,3,0,1,2,4,6,-2,1,11
Krylia Sovetov,3,0,1,2,4,6,-2,1,12
Nizhny Novgorod,3,0,1,2,5,11,-6,1,13
Lokomotiv Moscow,3,0,1,2,2,10,-8,1,14
FK Khimki,3,0,0,3,6,9,-3,0,15
Torpedo Moscow,3,0,0,3,0,7,-7,0,16
Zenit St Petersburg,4,4,0,0,7,0,7,12,1
CSKA Moscow,4,4,0,0,6,3,3,12,2
Spartak Moscow,4,3,1,0,7,6,1,10,3
Terek Grozny,4,2,1,1,7,6,1,7,4
FC Orenburg,4,2,0,2,12,2,10,6,5
Dinamo Moscow,4,1,2,1,7,7,0,5,6
FK Rostov,4,1,2,1,8,12,-4,5,7
FK Krasnodar,4,1,1,2,8,7,1,4,8
FK Khimki,4,1,0,3,6,9,-3,3,9
Fakel Voronezh,4,0,1,3,7,6,1,1,10
Sochi,4,0,1,3,8,8,0,1,11
Krylia Sovetov,4,0,1,3,4,6,-2,1,12
FK Ural,4,0,1,3,7,11,-4,1,13
Nizhny Novgorod,4,0,1,3,5,11,-6,1,14
Lokomotiv Moscow,4,0,1,3,3,11,-8,1,15
Torpedo Moscow,4,0,0,4,0,10,-10,0,16
Zenit St Petersburg,5,5,0,0,10,1,9,15,1
CSKA Moscow,5,5,0,0,9,3,6,15,2
Spartak Moscow,5,4,1,0,8,7,1,13,3
Dinamo Moscow,5,2,2,1,8,7,1,8,4
Terek Grozny,5,2,2,1,8,8,0,8,5
FK Rostov,5,2,2,1,9,12,-3,8,6
FC Orenburg,5,2,1,2,13,6,7,7,7
FK Krasnodar,5,2,1,2,9,8,1,7,8
Sochi,5,1,1,3,10,8,2,4,9
Krylia Sovetov,5,1,1,3,6,6,0,4,10
FK Khimki,5,1,1,3,7,9,-2,4,11
Nizhny Novgorod,5,1,1,3,6,12,-6,4,12
Fakel Voronezh,5,0,2,3,11,6,5,2,13
FK Ural,5,0,2,3,8,13,-5,2,14
Lokomotiv Moscow,5,0,2,3,5,11,-6,2,15
Torpedo Moscow,5,0,1,4,0,10,-10,1,16
Zenit St Petersburg,6,6,0,0,12,2,10,18,1
CSKA Moscow,6,6,0,0,13,4,9,18,2
Spartak Moscow,6,5,1,0,11,7,4,16,3
Terek Grozny,6,3,2,1,12,8,4,11,4
FK Rostov,6,3,2,1,14,12,2,11,5
Dinamo Moscow,6,3,2,1,10,8,2,11,6
FC Orenburg,6,3,1,2,17,6,11,10,7
FK Krasnodar,6,2,2,2,11,11,0,8,8
Sochi,6,1,2,3,10,10,0,5,9
Krylia Sovetov,6,1,2,3,6,9,-3,5,10
Lokomotiv Moscow,6,1,2,3,8,12,-4,5,11
Nizhny Novgorod,6,1,2,3,8,12,-4,5,12
FK Khimki,6,1,1,4,7,10,-3,4,13
Fakel Voronezh,6,0,3,3,12,11,1,3,14
FK Ural,6,0,3,3,9,18,-9,3,15
Torpedo Moscow,6,0,1,5,1,14,-13,1,16
Zenit St Petersburg,7,7,0,0,14,2,12,21,1
CSKA Moscow,7,7,0,0,15,5,10,21,2
Spartak Moscow,7,5,2,0,11,7,4,17,3
Terek Grozny,7,4,2,1,15,8,7,14,4
Dinamo Moscow,7,4,2,1,16,11,5,14,5
FC Orenburg,7,4,1,2,22,7,15,13,6
FK Rostov,7,3,2,2,15,12,3,11,7
FK Krasnodar,7,2,2,3,11,13,-2,8,8
Sochi,7,1,2,4,11,14,-3,5,9
Lokomotiv Moscow,7,1,2,4,9,12,-3,5,10
Krylia Sovetov,7,1,2,4,6,12,-6,5,11
Nizhny Novgorod,7,1,2,4,9,18,-9,5,12
FK Khimki,7,1,1,5,8,14,-6,4,13
Fakel Voronezh,7,0,3,4,14,13,1,3,14
FK Ural,7,0,3,4,9,23,-14,3,15
Torpedo Moscow,7,0,1,6,3,15,-12,1,16
Zenit St Petersburg,8,8,0,0,16,2,14,24,1
CSKA Moscow,8,8,0,0,18,6,12,24,2
Spartak Moscow,8,6,2,0,15,9,6,20,3
Terek Grozny,8,5,2,1,16,9,7,17,4
Dinamo Moscow,8,4,3,1,17,11,6,15,5
FC Orenburg,8,4,2,2,24,8,16,14,6
FK Rostov,8,3,3,2,16,14,2,12,7
FK Krasnodar,8,3,2,3,14,15,-1,11,8
Lokomotiv Moscow,8,1,3,4,11,17,-6,6,9
Sochi,8,1,2,5,11,16,-5,5,10
Krylia Sovetov,8,1,2,5,6,15,-9,5,11
Nizhny Novgorod,8,1,2,5,9,21,-12,5,12
FK Khimki,8,1,1,6,8,16,-8,4,13
Fakel Voronezh,8,0,3,5,14,15,-1,3,14
FK Ural,8,0,3,5,11,25,-14,3,15
Torpedo Moscow,8,0,1,7,3,16,-13,1,16
Zenit St Petersburg,9,9,0,0,19,2,17,27,1
CSKA Moscow,9,8,0,1,18,7,11,24,2
Spartak Moscow,9,6,2,1,15,11,4,20,3
Dinamo Moscow,9,5,3,1,21,12,9,18,4
Terek Grozny,9,5,3,1,19,13,6,18,5
FC Orenburg,9,4,3,2,26,10,16,15,6
FK Rostov,9,3,3,3,16,17,-1,12,7
FK Krasnodar,9,3,3,3,14,18,-4,12,8
Lokomotiv Moscow,9,1,4,4,13,18,-5,7,9
FK Khimki,9,1,2,6,9,17,-8,5,10
Krylia Sovetov,9,1,2,6,6,16,-10,5,11
Sochi,9,1,2,6,11,25,-14,5,12
Nizhny Novgorod,9,1,2,6,9,25,-16,5,13
Fakel Voronezh,9,0,3,6,15,22,-7,3,14
FK Ural,9,0,3,6,11,31,-20,3,15
Torpedo Moscow,9,0,2,7,3,18,-15,2,16
Zenit St Petersburg,10,10,0,0,19,3,16,30,1
CSKA Moscow,10,9,0,1,20,9,11,27,2
Spartak Moscow,10,7,2,1,16,15,1,23,3
Dinamo Moscow,10,6,3,1,22,15,7,21,4
Terek Grozny,10,6,3,1,20,14,6,21,5
FC Orenburg,10,4,3,3,26,11,15,15,6
FK Krasnodar,10,4,3,3,16,19,-3,15,7
FK Rostov,10,3,4,3,18,17,1,13,8
Lokomotiv Moscow,10,2,4,4,13,19,-6,10,9
Krylia Sovetov,10,1,3,6,10,17,-7,6,10
FK Khimki,10,1,3,6,9,18,-9,6,11
Sochi,10,1,3,6,13,25,-12,6,12
FK Ural,10,1,3,6,14,31,-17,6,13
Nizhny Novgorod,10,1,3,6,9,28,-19,6,14
Fakel Voronezh,10,0,3,7,17,24,-7,3,15
Torpedo Moscow,10,0,2,8,3,19,-16,2,16
Zenit St Petersburg,11,11,0,0,22,4,18,33,1
CSKA Moscow,11,10,0,1,24,10,14,30,2
Spartak Moscow,11,8,2,1,16,16,0,26,3
Dinamo Moscow,11,7,3,1,24,16,8,24,4
