Team,Matches,Won,Drawn,Lost,GF,GA,GD,Points,Rank
Parma,1,1,0,0,2,0,2,3,1
Frosinone,1,1,0,0,2,1,1,3,2
Modena,1,0,1,0,3,1,2,1,3
Reggina,1,0,1,0,2,1,1,1,4
Bari 1908,1,0,1,0,1,0,1,1,5
Genoa,1,0,1,0,1,0,1,1,6
Ternana,1,0,1,0,1,1,0,1,7
FC Sudtirol,1,0,1,0,0,1,-1,1,8
Cagliari,1,0,1,0,0,2,-2,1,9
Pisa,1,0,1,0,0,3,-3,1,10
Palermo,1,0,1,0,0,4,-4,1,11
Ascoli,1,0,0,1,2,0,2,0,12
SPAL Ferrara,1,0,0,1,3,2,1,0,13
Como,1,0,0,1,1,0,1,0,14
Venezia,1,0,0,1,1,1,0,0,15
Perugia,1,0,0,1,0,0,0,0,16
Cosenza,1,0,0,1,1,2,-1,0,17
Brescia,1,0,0,1,0,1,-1,0,18
Cittadella,1,0,0,1,0,2,-2,0,19
Benevento,1,0,0,1,0,2,-2,0,20
Frosinone,2,2,0,0,3,1,2,6,1
Parma,2,2,0,0,2,1,1,6,2
Bari 1908,2,1,1,0,2,0,2,4,3
Reggina,2,1,1,0,2,2,0,4,4
Genoa,2,0,2,0,3,0,3,2,5
Modena,2,0,2,0,3,1,2,2,6
Cagliari,2,0,2,0,2,2,0,2,7
Ternana,2,0,2,0,2,3,-1,2,8
FC Sudtirol,2,0,2,0,0,1,-1,2,9
Palermo,2,0,2,0,1,4,-3,2,10
Pisa,2,0,2,0,1,5,-4,2,11
Como,2,0,1,1,3,0,3,1,12
Ascoli,2,0,1,1,3,0,3,1,13
Perugia,2,0,1,1,3,1,2,1,14
SPAL Ferrara,2,0,1,1,3,2,1,1,15
Benevento,2,0,1,1,2,2,0,1,16
Venezia,2,0,1,1,1,1,0,1,17
Cittadella,2,0,1,1,1,4,-3,1,18
Cosenza,2,0,1,1,1,4,-3,1,19
Brescia,2,0,1,1,1,5,-4,1,20
Frosinone,3,3,0,0,5,3,2,9,1
Parma,3,2,1,0,6,1,5,7,2
Bari 1908,3,2,1,0,4,1,3,7,3
Reggina,3,2,1,0,4,3,1,7,4
Modena,3,0,3,0,6,1,5,3,5
Ternana,3,0,3,0,6,4,2,3,6
Genoa,3,0,3,0,3,1,2,3,7
Cagliari,3,0,3,0,3,3,0,3,8
FC Sudtirol,3,0,3,0,0,1,-1,3,9
Palermo,3,0,3,0,2,6,-4,3,10
Pisa,3,0,3,0,2,6,-4,3,11
SPAL Ferrara,3,0,2,1,6,2,4,2,12
Perugia,3,0,2,1,5,1,4,2,13
Venezia,3,0,2,1,5,2,3,2,14
Ascoli,3,0,2,1,4,1,3,2,15
Benevento,3,0,2,1,4,2,2,2,16
Como,3,0,2,1,3,1,2,2,17
Cittadella,3,0,2,1,1,6,-5,2,18
Cosenza,3,0,1,2,2,6,-4,1,19
Brescia,3,0,1,2,1,6,-5,1,20
Frosinone,4,4,0,0,6,3,3,12,1
Parma,4,3,1,0,6,3,3,10,2
Bari 1908,4,2,2,0,7,2,5,8,3
Reggina,4,2,2,0,4,3,1,8,4
Modena,4,0,4,0,7,2,5,4,5
Genoa,4,0,4,0,3,1,2,4,6
Ternana,4,0,4,0,6,6,0,4,7
FC Sudtirol,4,0,4,0,2,2,0,4,8
Cagliari,4,0,4,0,4,5,-1,4,9
Pisa,4,0,4,0,4,7,-3,4,10
Palermo,4,0,4,0,4,8,-4,4,11
SPAL Ferrara,4,0,3,1,6,2,4,3,12
Benevento,4,0,3,1,7,4,3,3,13
Ascoli,4,0,3,1,6,4,2,3,14
Perugia,4,0,3,1,5,3,2,3,15
Como,4,0,3,1,3,2,1,3,16
Cittadella,4,0,3,1,1,7,-6,3,17
Venezia,4,0,2,2,6,4,2,2,18
Cosenza,4,0,1,3,4,7,-3,1,19
Brescia,4,0,1,3,2,8,-6,1,20
Frosinone,5,5,0,0,9,3,6,15,1
Parma,5,4,1,0,8,3,5,13,2
Bari 1908,5,3,2,0,10,4,6,11,3
Reggina,5,2,3,0,7,5,2,9,4
Modena,5,0,5,0,7,3,4,5,5
Genoa,5,0,5,0,3,1,2,5,6
Ternana,5,0,5,0,7,7,0,5,7
Cagliari,5,0,5,0,4,5,-1,5,8
FC Sudtirol,5,0,5,0,2,3,-1,5,9
Pisa,5,0,5,0,5,8,-3,5,10
