Team,Matches,Won,Drawn,Lost,GF,GA,GD,Points,Rank
Dumbarton,1,1,0,0,1,0,1,3,1
Annan Athletic,1,1,0,0,2,2,0,3,2
Stirling Albion,1,1,0,0,0,1,-1,3,3
Stranraer,1,0,1,0,2,0,2,1,4
East Fife,1,0,1,0,1,0,1,1,5
Elgin City,1,0,1,0,1,1,0,1,6
Forfar Athletic,1,0,1,0,1,1,0,1,7
Albion Rovers,1,0,1,0,1,2,-1,1,8
Stenhousemuir,1,0,1,0,0,1,-1,1,9
Bonnyrigg Rose,1,0,0,1,0,1,-1,0,10
Dumbarton,2,2,0,0,6,4,2,6,1
Stirling Albion,2,1,1,0,2,2,0,4,2
Annan Athletic,2,1,0,1,2,4,-2,3,3
Stranraer,2,0,1,1,3,1,2,1,4
East Fife,2,0,1,1,3,2,1,1,5
Albion Rovers,2,0,1,1,2,2,0,1,6
Elgin City,2,0,1,1,1,1,0,1,7
Forfar Athletic,2,0,1,1,1,1,0,1,8
Bonnyrigg Rose,2,0,1,1,1,2,-1,1,9
Stenhousemuir,2,0,1,1,0,3,-3,1,10
Dumbarton,3,3,0,0,6,4,2,9,1
Stirling Albion,3,2,1,0,2,2,0,7,2
Elgin City,3,1,1,1,4,3,1,4,3
Annan Athletic,3,1,1,1,3,4,-1,4,4
Albion Rovers,3,0,2,1,5,3,2,2,5
East Fife,3,0,2,1,6,5,1,2,6
Forfar Athletic,3,0,2,1,3,2,1,2,7
Bonnyrigg Rose,3,0,2,1,2,2,0,2,8
Stenhousemuir,3,0,2,1,2,5,-3,2,9
Stranraer,3,0,1,2,5,1,4,1,10
Dumbarton,4,4,0,0,8,4,4,12,1
Stirling Albion,4,3,1,0,3,5,-2,10,2
Stenhousemuir,4,1,2,1,4,5,-1,5,3
Annan Athletic,4,1,2,1,4,7,-3,5,4
Elgin City,4,1,1,2,4,7,-3,4,5
Albion Rovers,4,0,3,1,6,3,3,3,6
East Fife,4,0,3,1,7,6,1,3,7
Forfar Athletic,4,0,3,1,4,3,1,3,8
Bonnyrigg Rose,4,0,3,1,2,4,-2,3,9
Stranraer,4,0,2,2,6,1,5,2,10
Dumbarton,5,5,0,0,9,5,4,15,1
Stirling Albion,5,4,1,0,5,5,0,13,2
Annan Athletic,5,1,3,1,5,8,-3,6,3
Elgin City,5,1,2,2,6,9,-3,5,4
Stenhousemuir,5,1,2,2,4,7,-3,5,5
Albion Rovers,5,0,4,1,10,3,7,4,6
East Fife,5,0,4,1,9,8,1,4,7
Forfar Athletic,5,0,4,1,6,5,1,4,8
Bonnyrigg Rose,5,0,4,1,4,5,-1,4,9
Stranraer,5,0,3,2,7,1,6,3,10
Dumbarton,6,6,0,0,9,6,3,18,1
Stirling Albion,6,5,1,0,7,5,2,16,2
Elgin City,6,2,2,2,6,11,-5,8,3
Albion Rovers,6,1,4,1,10,4,6,7,4
Annan Athletic,6,1,4,1,7,8,-1,7,5
Stenhousemuir,6,1,3,2,8,7,1,6,6
Forfar Athletic,6,0,5,1,7,6,1,5,7
East Fife,6,0,5,1,9,9,0,5,8
Bonnyrigg Rose,6,0,4,2,6,7,-1,4,9
Stranraer,6,0,3,3,7,1,6,3,10
Dumbarton,7,7,0,0,11,6,5,21,1
Stirling Albion,7,6,1,0,11,5,6,19,2
Annan Athletic,7,2,4,1,9,8,1,10,3
Elgin City,7,2,3,2,7,14,-7,9,4
Albion Rovers,7,1,5,1,11,4,7,8,5
Stenhousemuir,7,1,4,2,8,8,0,7,6
Forfar Athletic,7,0,6,1,7,7,0,6,7
East Fife,7,0,5,2,11,12,-1,5,8
Bonnyrigg Rose,7,0,5,2,6,8,-2,5,9
Stranraer,7,0,4,3,10,3,7,4,10
Dumbarton,8,8,0,0,13,8,5,24,1
Stirling Albion,8,7,1,0,13,5,8,22,2
Annan Athletic,8,2,5,1,10,9,1,11,3
Elgin City,8,2,4,2,7,15,-8,10,4
Albion Rovers,8,1,6,1,13,8,5,9,5
Stenhousemuir,8,1,5,2,8,9,-1,8,6
Forfar Athletic,8,0,7,1,9,7,2,7,7
East Fife,8,0,6,2,13,12,1,6,8
Bonnyrigg Rose,8,0,6,2,7,9,-2,6,9
Stranraer,8,0,5,3,10,5,5,5,10
Dumbarton,9,9,0,0,13,8,5,27,1
Stirling Albion,9,8,1,0,15,5,10,25,2
Annan Athletic,9,2,6,1,13,11,2,12,3
Elgin City,9,2,5,2,10,18,-8,11,4
Albion Rovers,9,1,7,1,15,8,7,10,5
Stenhousemuir,9,1,6,2,11,10,1,9,6
Forfar Athletic,9,0,8,1,10,7,3,8,7
Stranraer,9,0,6,3,10,9,1,6,8
Bonnyrigg Rose,9,0,6,3,8,9,-1,6,9
East Fife,9,0,6,3,13,15,-2,6,10
Stirling Albion,10,9,1,0,17,5,12,28,1
Dumbarton,10,9,1,0,14,10,4,28,2
Annan Athletic,10,2,7,1,13,12,1,13,3
Elgin City,10,2,6,2,11,20,-9,12,4
Albion Rovers,10,1,8,1,19,10,9,11,5
Stenhousemuir,10,1,7,2,12,11,1,10,6
Forfar Athletic,10,0,8,2,11,7,4,8,7
Stranraer,10,0,7,3,11,10,1,7,8
East Fife,10,0,7,3,16,16,0,7,9
Bonnyrigg Rose,10,0,6,4,12,14,-2,6,10
Dumbarton,11,10,1,0,18,10,8,31,1
Stirling Albion,11,9,2,0,22,7,15,29,2
Annan Athletic,11,3,7,1,17,14,3,16,3
Elgin City,11,2,6,3,11,20,-9,12,4
Albion Rovers,11,1,9,1,19,12,7,12,5
Stenhousemuir,11,1,8,2,13,12,1,11,6
Forfar Athletic,11,0,9,2,13,8,5,9,7
East Fife,11,0,8,3,19,17,2,8,8
Stranraer,11,0,8,3,13,12,1,8,9
Bonnyrigg Rose,11,0,6,5,14,17,-3,6,10
Dumbarton,12,11,1,0,20,10,10,34,1
Stirling Albion,12,10,2,0,24,8,16,32,2
Annan Athletic,12,3,8,1,17,15,2,17,3
Elgin City,12,2,7,3,11,24,-13,13,4
Albion Rovers,12,1,10,1,20,12,8,13,5
Stenhousemuir,12,1,8,3,16,13,3,11,6
Forfar Athletic,12,0,10,2,13,8,5,10,7
East Fife,12,0,9,3,21,18,3,9,8
Stranraer,12,0,9,3,15,14,1,9,9
Bonnyrigg Rose,12,0,6,6,14,19,-5,6,10
Dumbarton,13,12,1,0,20,10,10,37,1
Stirling Albion,13,11,2,0,24,10,14,35,2
Annan Athletic,13,4,8,1,20,17,3,20,3
Elgin City,13,2,8,3,13,27,-14,14,4
Albion Rovers,13,1,11,1,21,13,8,14,5
Stenhousemuir,13,1,9,3,18,13,5,12,6
Forfar Athletic,13,0,11,2,17,10,7,11,7
East Fife,13,0,10,3,22,18,4,10,8
Stranraer,13,0,9,4,15,16,-1,9,9
Bonnyrigg Rose,13,0,7,6,14,20,-6,7,10
Stirling Albion,14,12,2,0,24,10,14,38,1
Dumbarton,14,12,2,0,20,11,9,38,2
Annan Athletic,14,4,9,1,21,17,4,21,3
Elgin City,14,2,9,3,17,29,-12,15,4
Albion Rovers,14,1,11,2,21,15,6,14,5
Stenhousemuir,14,1,10,3,18,15,3,13,6
Forfar Athletic,14,0,12,2,18,11,7,12,7
East Fife,14,0,11,3,25,18,7,11,8
Stranraer,14,0,10,4,17,20,-3,10,9
Bonnyrigg Rose,14,0,7,7,15,20,-5,7,10
Stirling Albion,15,13,2,0,26,11,15,41,1
Dumbarton,15,12,3,0,21,12,9,39,2
Annan Athletic,15,4,9,2,21,21,0,21,3
Elgin City,15,2,10,3,19,32,-13,16,4
Albion Rovers,15,1,12,2,22,15,7,15,5
Stenhousemuir,15,1,11,3,19,15,4,14,6
Forfar Athletic,15,0,13,2,19,14,5,13,7
East Fife,15,0,12,3,25,20,5,12,8
Stranraer,15,0,10,5,19,24,-5,10,9
Bonnyrigg Rose,15,0,7,8,15,22,-7,7,10
Stirling Albion,16,14,2,0,30,12,18,44,1
Dumbarton,16,13,3,0,24,12,12,42,2
Annan Athletic,16,4,10,2,21,24,-3,22,3
Elgin City,16,2,11,3,20,35,-15,17,4
Albion Rovers,16,1,13,2,22,16,6,16,5
Stenhousemuir,16,1,12,3,20,18,2,15,6
Forfar Athletic,16,0,14,2,21,14,7,14,7
East Fife,16,0,12,4,25,22,3,12,8
Stranraer,16,0,11,5,20,26,-6,11,9
Bonnyrigg Rose,16,0,8,8,15,24,-9,8,10
Stirling Albion,17,15,2,0,32,13,19,47,1
Dumbarton,17,14,3,0,24,13,11,45,2
Annan Athletic,17,4,11,2,24,25,-1,23,3
Elgin City,17,2,12,3,21,37,-16,18,4
Albion Rovers,17,1,14,2,23,17,6,17,5
Stenhousemuir,17,1,13,3,20,18,2,16,6
Forfar Athletic,17,0,14,3,21,16,5,14,7
East Fife,17,0,13,4,25,24,1,13,8
Stranraer,17,0,12,5,22,30,-8,12,9
Bonnyrigg Rose,17,0,9,8,15,25,-10,9,10
Stirling Albion,18,16,2,0,35,13,22,50,1
Dumbarton,18,14,4,0,26,18,8,46,2
Annan Athletic,18,4,11,3,25,29,-4,23,3
Elgin City,18,2,12,4,22,39,-17,18,4
Albion Rovers,18,1,14,3,24,19,5,17,5
Stenhousemuir,18,1,13,4,22,18,4,16,6
Forfar Athletic,18,0,14,4,21,19,2,14,7
East Fife,18,0,13,5,26,26,0,13,8
Stranraer,18,0,12,6,22,30,-8,12,9
Bonnyrigg Rose,18,0,9,9,15,27,-12,9,10
