Team,Matches,Won,Drawn,Lost,GF,GA,GD,Points,Rank
Osnabruck,1,1,0,0,4,1,3,3,1
Elversberg,1,1,0,0,3,2,1,3,2
Freiburg II,1,0,1,0,2,0,2,1,3
Saarbrucken,1,0,1,0,0,0,0,1,4
Ingolstadt,1,0,1,0,0,1,-1,1,5
Wehen Wiesbaden,1,0,1,0,1,3,-2,1,6
Munich 1860,1,0,1,0,1,3,-2,1,7
Dynamo Dresden,1,0,1,0,0,6,-6,1,8
Verl,1,0,0,1,3,0,3,0,9
SpVgg Bayreuth,1,0,0,1,3,1,2,0,10
Erzgebirge Aue,1,0,0,1,3,1,2,0,11
Mannheim,1,0,0,1,2,2,0,0,12
Hallescher FC,1,0,0,1,2,3,-1,0,13
Dortmund II,1,0,0,1,2,3,-1,0,14
Zwickau,1,0,0,1,0,1,-1,0,15
Viktoria Koln,1,0,0,1,0,1,-1,0,16
RW Essen,1,0,0,1,0,2,-2,0,17
SV Meppen,1,0,0,1,2,5,-3,0,18
VfB Oldenburg,1,0,0,1,1,4,-3,0,19
MSV Duisburg,1,0,0,1,0,4,-4,0,20
Elversberg,2,2,0,0,6,4,2,6,1
Osnabruck,2,1,1,0,5,1,4,4,2
Saarbrucken,2,1,1,0,4,1,3,4,3
Wehen Wiesbaden,2,1,1,0,4,4,0,4,4
Ingolstadt,2,1,1,0,1,1,0,4,5
Munich 1860,2,1,1,0,2,4,-2,4,6
Dynamo Dresden,2,1,1,0,2,6,-4,4,7
Freiburg II,2,0,2,0,4,2,2,2,8
Verl,2,0,1,1,4,0,4,1,9
Mannheim,2,0,1,1,6,3,3,1,10
Viktoria Koln,2,0,1,1,4,2,2,1,11
Erzgebirge Aue,2,0,1,1,3,2,1,1,12
Dortmund II,2,0,1,1,3,4,-1,1,13
RW Essen,2,0,1,1,2,3,-1,1,14
Zwickau,2,0,1,1,1,2,-1,1,15
Hallescher FC,2,0,1,1,2,4,-2,1,16
SV Meppen,2,0,1,1,3,6,-3,1,17
MSV Duisburg,2,0,1,1,2,6,-4,1,18
SpVgg Bayreuth,2,0,0,2,4,7,-3,0,19
VfB Oldenburg,2,0,0,2,3,7,-4,0,20
Elversberg,3,3,0,0,8,5,3,9,1
Osnabruck,3,2,1,0,7,3,4,7,2
Saarbrucken,3,1,2,0,5,1,4,5,3
Ingolstadt,3,1,2,0,4,1,3,5,4
Wehen Wiesbaden,3,1,2,0,6,5,1,5,5
Munich 1860,3,1,2,0,3,4,-1,5,6
Dynamo Dresden,3,1,2,0,4,6,-2,5,7
Freiburg II,3,0,3,0,5,2,3,3,8
Verl,3,0,2,1,6,1,5,2,9
Viktoria Koln,3,0,2,1,5,3,2,2,10
Mannheim,3,0,2,1,6,6,0,2,11
Erzgebirge Aue,3,0,1,2,4,3,1,1,12
RW Essen,3,0,1,2,3,3,0,1,13
Hallescher FC,3,0,1,2,3,4,-1,1,14
Zwickau,3,0,1,2,3,6,-3,1,15
Dortmund II,3,0,1,2,4,8,-4,1,16
MSV Duisburg,3,0,1,2,3,7,-4,1,17
SV Meppen,3,0,1,2,3,7,-4,1,18
VfB Oldenburg,3,0,0,3,3,8,-5,0,19
SpVgg Bayreuth,3,0,0,3,4,10,-6,0,20
Elversberg,4,4,0,0,9,5,4,12,1
Osnabruck,4,3,1,0,9,3,6,10,2
Ingolstadt,4,2,2,0,9,2,7,8,3
Saarbrucken,4,1,3,0,6,2,4,6,4
