Team,Matches,Won,Drawn,Lost,GF,GA,GD,Points,Rank
Kaiserslautern,1,1,0,0,1,2,-1,3,1
Paderborn,1,0,1,0,2,2,0,1,2
Hannover 96,1,0,1,0,2,2,0,1,3
Darmstadt 98,1,0,1,0,1,1,0,1,4
Heidenheim,1,0,1,0,2,4,-2,1,5
Hamburger SV,1,0,1,0,1,4,-3,1,6
Greuther Furth,1,0,0,1,2,1,1,0,7
Fortuna Dusseldorf,1,0,0,1,2,1,1,0,8
St Pauli,1,0,0,1,1,0,1,0,9
Sandhausen,1,0,0,1,1,1,0,0,10
Arminia Bielefeld,1,0,0,1,1,1,0,0,11
Nurnberg,1,0,0,1,1,2,-1,0,12
Hansa Rostock,1,0,0,1,2,4,-2,0,13
Magdeburg,1,0,0,1,1,3,-2,0,14
Jahn Regensburg,1,0,0,1,0,2,-2,0,15
Karlsruher SC,1,0,0,1,0,2,-2,0,16
Holstein Kiel,1,0,0,1,1,4,-3,0,17
Braunschweig,1,0,0,1,0,3,-3,0,18
Kaiserslautern,2,2,0,0,1,3,-2,6,1
Paderborn,2,1,1,0,6,2,4,4,2
Darmstadt 98,2,1,1,0,3,1,2,4,3
Hamburger SV,2,1,1,0,2,4,-2,4,4
Heidenheim,2,1,1,0,2,5,-3,4,5
Hannover 96,2,0,2,0,3,2,1,2,6
Greuther Furth,2,0,1,1,5,1,4,1,7
Fortuna Dusseldorf,2,0,1,1,5,3,2,1,8
Holstein Kiel,2,0,1,1,5,5,0,1,9
St Pauli,2,0,1,1,1,2,-1,1,10
Hansa Rostock,2,0,1,1,4,6,-2,1,11
Arminia Bielefeld,2,0,1,1,1,4,-3,1,12
Karlsruher SC,2,0,1,1,0,3,-3,1,13
Braunschweig,2,0,1,1,3,8,-5,1,14
Jahn Regensburg,2,0,0,2,1,2,-1,0,15
Nurnberg,2,0,0,2,1,2,-1,0,16
Sandhausen,2,0,0,2,2,5,-3,0,17
Magdeburg,2,0,0,2,1,5,-4,0,18
Kaiserslautern,3,3,0,0,2,4,-2,9,1
